,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2980,"Bitte retweeten wer der gleichen Meinung ist! <USERNAME> <USERNAME> COVID19de CoronaPandemie StayHome Soforthilfe COVID19 RETWEEET HelpFightCorona RetweeetPlease YouTube twitch 
Beitrag durchlesen und teilen wenn er gefällt! Jede Stimme zählt! Vielen Dank! 👇🏼👇🏼👇🏼👇🏼 ",Unrelated,Support,
1,2356,"Deutsche Unternehmen jammern wegen Homeoffice und die dadurch verlorene lückenlose Mitarbeiterkontrolle, leere Fußballstadien und leere Regale im Supermarkt! Corona Bundesliga Klopapier Risikoland ",Unrelated,Comment,
2,985,"Anders als die aktuellen hyperregulierten Kitaregeln &amp; die pauschale Freigabe der Spielplätze ( ist diese Regelung des Senats sehr sinnvoll &amp; ein kluger Kompromiss. Aufhebung sozialer Isolation der Kinder, mit Freunden, in überschaubarem Rahmen. Danke 👍🏻",Support,Comment,
3,2246,"Deutschlands Schulen bleiben derzeit wegen des Coronavirus geschlossen – neuneinhalb erklärt kindgerecht, warum solche Sicherheitsmaßnahmen notwendig sind und was jeder von uns tun kann: ",Support,Comment,
4,333, Viele Erntehelfer können nicht anreisen und werden deshalb bei der Ernte fehlen. Meldet euch als Erntehelfer auf - als Helfer und Betrieb kostenlos eintragen StayAtHome Covid_19 wirbleibenzuhause bauersuchthilfe,Comment,Unrelated,
5,2895,Indiens Kampf gegen Corona: Mit Ausgangssperren gegen düstere Prognosen | Asien | DW | 28.03.2020 by <USERNAME> ,Support,Comment,
6,2249," Die Reaktionen auf Ihren Beitrag zeigen mir, dass das Thema Verhältnismäßigkeit auf keinen Fall am Sonntag vergessen werden darf! Das Augenmaß durch Corona haben einige verloren. Wir brauchen schließlich eine Regelung die sich für mehrere Wochen umsetzen lässt.",Refute,Comment,
7,2513,"Egoismus first, Solidarität second ist eine scheiß Haltung. StayAtHome BleibtZuhause CoronaVirus COVID19 COVID2019de ",Support,Unrelated,
8,190,Corona-Arbeitsschutz: Diese Regeln gelten in Friseursalons ab dem 4. Mai  ,Unrelated,Comment,
9,2759,"Bin &amp; bleibe ein alter Optimist: Wenn alles gutgeht, wird Umsetzung der Schutz- und Vorsichtsmaßnahmen gegen Coronavirus eine der größten Hilfs- und Solidaritätsaktionen, die Österreich seit dem Krieg erlebt hat. Vor allem ältere Schüler und Studierende via SM als Aktive Helfer!",Support,Comment,
10,2888,"Mein ehemaliger Chef ist ja in Quarantäne, weil er seine Mutter mit Covid infiziert war. Sie ist jetzt vor einigen Tagen daran verstorben.",Comment,Refute,
11,102,"23.01: ""Keine Angst, Corona kommt nicht nach Europa""
24.01: Vier Fälle in Frankreich
25.01: ""Keine Angst, Corona kommt nicht nach Deutschland""
26.01: Erster Fall in Deutschland
29.01: ""Alles nur Panikmache!""
30.01: 90 in Quarantäne, vier bestätigte Fälle in Deutschland 🤔😖",Comment,Support,
12,647,"So fangen schlechte Witze an: ""Zwei Idioten kommen in ein Studio und fetzen sich....."" coronavirus BleibtZuhause ",Unrelated,Comment,
13,2775,Immer mehr Verstöße gegen Corona-Schutzmaßnahmen ,Comment,Unrelated,
14,1481,"Nicht auszudenken, was mit Berlin passieren würde, wenn diese Dichte der Regelüberwachung in die Zeit NACH der Coronakrise hinübergerettet (und ggf. auf Delikte wie gewerbsmäßigen Drogenhandel und andere OK-Delikte ausgeweitet) werden könnte. ",Comment,Unrelated,
15,1298," <USERNAME> <USERNAME> <USERNAME> <USERNAME> Unsere Bundesregierung hat sich in Sachen Coronavirus höchst dilettantisch verhalten u tut dies immer noch. Wenn man jetzt auch noch lesen muss, dass Reisende aus aller Welt immer noch am Frankfurter Flughafen ankommen u diesen ohne Quarantäne verlassen können, dann platzt einem",Comment,Refute,
16,2825,"Ich persönlich stimme der Entscheidung zu
und teile die Angst der betroffenen Stakeholder vor den Auswirkungen von
Entscheidungen, die auf das öffentliche Interesse abzielen.Ich denke, die
Regierung sollte…",Comment,Support, Arabic
17,1110,"Das BIP in Deutschland dürfte in Q1 um 2,4 Prozent gesunken sein - ein hoher Wert, da Lockdown nur in zweiter Märzhälfte voll zum Tragen kam. In Q2 droht zweistelliger Einbruch. coronadeutschland Covid19 Konjunktur",Refute,Comment,
18,213,“Breadback cmere” ,Unrelated,Comment,
19,856,Keine Kita-Gebühren während Corona-Schließung - ,Unrelated,Comment,
20,2211,"🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷       Grazie Italien, ihr zeigt wie wir unsere Mitmenschen mental unterstützen können. 🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷🌷 Danke an jeden 🙏
StayHome coronavirus CoronaVirusDE thinkpositive ",Unrelated,Support,
21,65,"""Gut im Griff "" ist das neue "" ich spreche ihm/ihr mein vollstes Vertrauen aus"" 🙃
coronavirus FlattenTheCurve donalphonso ",Unrelated,Support,
22,537,"Bund liefert rund 1,7 Millionen Schutzmasken an Sachsen DSXN Corona FlattenTheCurve COVIDー19 Gesundheit Kra...",Unrelated,Comment,
23,116, <USERNAME> Der Effekt ist wegen der Inkubationszeit *frühestens* 5 Tage nach Beginn des social distancing sichtbar.,Unrelated,Comment,
24,327,"Kann sich eigentlich einmal jemand dazu äußern, wie die Abstandsmessung zu Kontakten und die Beurteilung, ob ein Kontakt stattgefunden hat, in der Stopp-Corona-App technisch genau funktioniert? Seit Tagen wird drüber diskutiert und zur technischen Umsetzung gibt's keine Infos.",Unrelated,Refute,
25,2717," Trotz COVID-19 Krise und ""ausserordentliche Lage"", ist Besonnenheit, gesunder Menschenverstand, Ruhe und Gelassenheit nicht verboten worden. Zur Erinnerung: Wahltag ist Zahltag. wahltagzahltag LockdownRogerKoeppel",Unrelated,Comment,
26,117,"Aigües del Prat garantiert die
Versorgung aller Haushalte während dieses Alarmzustands aufgrund des
Coronavirus. Ich mache auch neu…",Comment,Unrelated, Catalan
27,2764," Wenn jeder Rudy Gobert gab
Coronavirus sehen ihn auf der Straße",Unrelated,Comment,English
28,403, Einzelhandel Warum sind keine Desinfektionsmittelspender an den Eingängen der Einkaufsmärkte? Coronakrise coronavirus COVID19 FlattenTheCurve Ausgangssperre,Unrelated,Comment,
29,1899," <USERNAME> <USERNAME> Wollen Sie behauptet, das Coronavirus sei das Ergebnis der Einschränkungen beim Flugverkehr, oder was wollen Sie behaupten?",Comment,Refute,
30,434,"Yoga wurde übrigens 523v. Chr. von einem Tätowierer erfunden, der sich in Quarantäne selbst die freien Stellen an seinem Bein tätowieren wollte. 
Corona homeoffice",Unrelated,Comment,
31,2677,"""Abschiebungen aus Hessen werden wegen der Coronakrise nicht pauschal ausgesetzt."" <USERNAME> ""Von nicht notwendigen Reisen raten wir ab"". Während Corona und immer: Abschiebestopp wirbleibenzuhause 
",Unrelated,Support,
32,1184,"„da keine Befunde, sondern nur die Anschriften der unter Quarantäne stehenden Personen übermittelt würde“. Mit Verlaub. Das ist schon schmerzhaft dummdreist. Natürlich werden sensible Daten offenbart. Setzen sechs, eher sieben. ",Comment,Support,
33,1992,"Regierungspräsident Christoph Ammann (<USERNAME> erklärt, wie es zur Sonderregelung bei den Berner Skigebieten kommen konnte. (Abo+) coronavirus ",Support,Unrelated,
34,339,"Was mich am meisten an Corona stört: Die Menschen, die mit den Maßnahmen geschützt werden sollen (Ü60), reagieren mit dem größten Unverständnis auf diese Maßnahmen! Schulschliessung CoronaVirusDE ",Support,Comment,
35,567,"Corona-Krise: Für das gesamte energate-Team ist es selbstverständlich, alles zu tun, um die Pandemie so gut wie möglich einzudämmen✅
Für unsere Kunden ändert sich dabei nichts! Alle Infos gibt es hier➡️ Homeoffice COVID19de COVID19 FlattenTheCurve ",Comment,Support,
36,372,"Deutschland versucht gerade diese Pandemie zu bewältigen und die GEZ-Zwangsbürger-Beitragsbehörde hat unserem Firmensitz in Deutschland gerade ein Drohbrief wegen des Büro-Fernsehers über 44,89 € geschickt. COVID19 DeutschlandBleibtZuhause aber Läuft alles ! 😂😂",Unrelated,Support,
37,2723,Weiterhin empfehlenswert: der Podcast von Virologe Prof. Drosten von der Charité. FlattenTheCurve COVIDー19 Corona,Unrelated,Comment,
38,2714,"Immer mehr leere Maschinen fliegen gerade nach AEgypten um die Touristen von den ⛱🏖🏝 zurückzuholen. Wer klug ist, steigt ein und ✈️ zurück coronavirusdeutschland ShutDownGermany COVID19",Comment,Unrelated,
39,448,"Shutdown als Chance: Die Krankheit Covid-19 betrifft mit ihren Auswirkungen die gesamte Menschheit. Ein Konzept aus der Psychologie stiftet Hoffnung, dass wir am Ende gestärkt aus der Krise hervorgehen könnten coronavirus COVID19 Futureofeurope",Support,Comment,
40,1286,"Wir haben ein Memo darüber online gebracht, wie wir als Agentur, Arbeitgeber und Kollegium auf die Ausbreitung des Coronavirus (COVID19) reagieren und welche Maßnahmen wir für unsere Kunden, Partner und uns ergreifen. remotework newwork homeoffice",Unrelated,Support,
41,2612,"Die Freiheitsrechte, welche im Moment beschnitten werden, mit vielen guten Gründen, hat irgendwer schon erwähnt ab welchem Zeitpunkt sie wieder hergestellt werden und in welchem Umfang oder hoffen wir einfach nur darauf...? lockdown COVID19 CoronaVirusUpdate",Comment,Refute,
42,1050," Das sehe ich ganz ähnlich. Kurzfristig womöglich vertretbar. Je länger desto tiefgreifender wird Grundrechtseingriff zB auch für Geschäfte, deren Kunden ausbleiben (wegen Ausgangbeschränkung+Schließungszwang) &amp; deren Existenz bedroht.
Covid_19",Support,Unrelated,
43,1925,"Wow, <USERNAME> schreibt Artikel über Corona, SocialDistancing &amp; Ausgangssperre ohne einmal die Auswirkungen für medizinisches Personal und Gesundheitswesen in Betrachtung einzubeziehen (o. IfSG zu erwähnen). Es geht nicht um die 1/2 Stunde im Park. ",Comment,Unrelated,
44,1982,"""Keine Handschuhe!“ – Arzt verrät Einkaufsregeln zum Schutz vor Corona  👍",Unrelated,Comment,
45,1291,Aktuell erreichen uns zahlreiche Anfragen zur Nutzung von CATIA V5 Lizenzen im Home-Office. Wir haben die wichtigsten Infos zu diesem Thema in einem PDF für Sie zusammengefasst: homeoffice corona ,Unrelated,Comment,
46,366,"Wichtiges Signal: Experten der <USERNAME> empfehlen, Maßnahmen zu Corona an ökologischer &amp; sozialer Nachhaltigkeit sowie Zukunftsverträglichkeit zu orientieren. Konjunkturprogramme sollten mit Zielen des EuropeanGreenDeal vereinbar sein. Leopoldina ",Support,Unrelated,
47,2655,"Corona-Krise: Was jeder zur Entschädigung für Verdienstausfall bei Quarantäne wissen sollte, Voraussetzungen, Antrag, Berechnung und Fristen mit Rechtsanwalt Leibecke ",Unrelated,Comment,
48,623,"Gibt es in D gleiche Zugangschancen zu Tests, CT-Diagnostik, Intensivmedizin und Beatmungsgeräten für Privat- und Kassenpatienten? | Ist die Zwei-Klassen-Medizin in der Coronakrise vorübergehend abgeschafft? lanz CoronaVirusDE COVID19 Kontaktsperre SARSCoV2",Unrelated,Comment,
49,2184,"Lockerungen der Corona-Kontaktsperre: Wenn wir so weitermachen, dann gute Nacht ",Refute,Comment,
50,699, <USERNAME> <USERNAME> Ich schätze Ihre Sendung sehr. Abner dei diesem Thema Corona-Virus haben Sie keine Ahnung. Es wird noch mindestens 5-8 Wochen dauern bis nur an eine leichte Lockerung gedacht werden kann. Bleiben Sie sachlich. Der lockdown istr richtig!,Support,Unrelated,
51,2286,"Hallöchen meine Lieben!
Ich habe mich dieses Mal für The Forest entschieden und hoffe ihr schaut mal rein! Wo man zu Zeiten von Corona nicht verreisen kann, lande ich gerade frisch auf einer Insel voller Hamsterer!  
smallyoutuber deutsch stayathome",Unrelated,Support,
52,1136,"Heute ausgewählt: Corona-App gegen Lockdown, WhatsApp mit selbstzerstörenden Nachrichten, Apple mit eigenen Gesichtsmasken. coronavirusdeutschland COVID19deutschland WhatsApp timcook apple GoogleAssistant 5G Zoom Ikea AugmentedReality ",Unrelated,Comment,
53,2358,"Haben eigentlich die Hörgeräte Akustiker noch auf? Wahrscheinlich auch nicht oder? Wenn jetzt Batterien ausgehen, muss man bestellen, ne? COVID19 CoronaHilfe bleibdaheim",Unrelated,Refute,
54,670,"Damit beim solidarischen Zuhausebleiben keine Langeweile aufkommt gibt es dieses Wochenende etwas Besonderes. Beim wirvsvirus Hackathon werden kreative Lösungen für Herausforderungen, die im Zuge der Corona Krise entstehen, gesucht.
Pressemitteilung: ",Unrelated,Comment,
55,1631,"""Sollte das Coronavirus tatsächlich in der Regel lediglich moderate und nur in Ausnahmefällen ernsthafte Gesundheitsgefahren verursachen, sieht die Abwägung komplett anders aus, als wenn ein Massensterben zu erwarten wäre."" Auf die 0,1% - 0,5% Sterbefälle kann man scheißen [3/9]",Unrelated,Support,
