,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2356,"Deutsche Unternehmen jammern wegen Homeoffice und die dadurch verlorene lückenlose Mitarbeiterkontrolle, leere Fußballstadien und leere Regale im Supermarkt! Corona Bundesliga Klopapier Risikoland ",Unrelated,Unrelated,
1,985,"Anders als die aktuellen hyperregulierten Kitaregeln &amp; die pauschale Freigabe der Spielplätze ( ist diese Regelung des Senats sehr sinnvoll &amp; ein kluger Kompromiss. Aufhebung sozialer Isolation der Kinder, mit Freunden, in überschaubarem Rahmen. Danke 👍🏻",Support,Support,
2,333, Viele Erntehelfer können nicht anreisen und werden deshalb bei der Ernte fehlen. Meldet euch als Erntehelfer auf - als Helfer und Betrieb kostenlos eintragen StayAtHome Covid_19 wirbleibenzuhause bauersuchthilfe,Comment,Comment,
3,2960,"Mutige Ansage von Leipzig-OB Jung (SPD), bei der Entwicklungsdynamik des CoronaVirus für 'ne ganze Woche radikale Maßnahmen auszuschließen. Nächstes Mal lieber: ""Stand jetzt sind keine Ladenschließungen geplant"". /MS ",Comment,Comment,
4,2888,"Mein ehemaliger Chef ist ja in Quarantäne, weil er seine Mutter mit Covid infiziert war. Sie ist jetzt vor einigen Tagen daran verstorben.",Comment,Comment,
5,2002,Corona Maßnahmen in Ingolstadt ,Comment,Comment,
6,2236,Auch in Hamburg: Gericht bestätigt Gottesdienstverbot. ,Comment,Comment,
7,2264,Aus dem heutigen Verwaltungsstab zu Corona: Bis zu einer übergreifenden Regelung für Veranstaltungen durch das Land Brandenburg gilt: Regionale Kultur- und Sportveranstaltungen unter 1000 Gästen können stattfinden ,Comment,Comment,
8,2703,"Als moderne Agentur heimatverbundener Weltbürger waren wir schon weit vor Corona auf Homeoffice eingestellt. 
Das Headquarter bleibt minimalbesetzt, dafür sind wir in Berlin jetzt an 8 Standorten operativ tätig und erreichbar💪 coronadeutschland ",Unrelated,Unrelated,
9,1084,Eastbound SV/Largo Town Center Train 609 changed its destination to RD/Shady Grove at or near East Falls Church on track 1. (9:06pm),Comment,Comment,
10,1298," <USERNAME> <USERNAME> <USERNAME> <USERNAME> Unsere Bundesregierung hat sich in Sachen Coronavirus höchst dilettantisch verhalten u tut dies immer noch. Wenn man jetzt auch noch lesen muss, dass Reisende aus aller Welt immer noch am Frankfurter Flughafen ankommen u diesen ohne Quarantäne verlassen können, dann platzt einem",Comment,Comment,
11,2242,"Und <USERNAME> ist skeptisch, ob nach dem Ende des Lockdowns Deutschland direkt zur Normalität zurückkehrt. Lindner lockdown COVIDー19 Corona ",Comment,Comment,
12,2810,"Coronavirus: ""Parks und Spielplätze bleiben offen"" bei 1-Meter-Sicherheitsregel ",Comment,Comment,
13,537,"Bund liefert rund 1,7 Millionen Schutzmasken an Sachsen DSXN Corona FlattenTheCurve COVIDー19 Gesundheit Kra...",Unrelated,Unrelated,
14,587,Corona in Köln: Maternus-Grundschule: Alle Schüler und Lehrer in Quarantäne (via <USERNAME> ,Comment,Comment,
15,117,"Aigües del Prat garantiert die
Versorgung aller Haushalte während dieses Alarmzustands aufgrund des
Coronavirus. Ich mache auch neu…",Comment,Comment, Catalan
16,2902,Bitte lesen❗️“Der Judenhass macht keinen Halt vor einer Ausgangssperre. Wir haben den Antisemitismus im Netz unter die Lupe genommen“. Covid19 ,Comment,Comment,
17,1846," <USERNAME> Ich hoffe, wenn die Corona-Krise vorbei ist, hält der Wähler in Berlin und anderswo endlich und dauerhaft Abstand von all jenen, die Gesunheit zur Ware und Krankenhäuser zu profitorientierten Unternehmen gemacht haben.",Unrelated,Unrelated,
18,2268,Also ich kenne die GroßeFreiheit auch menechenleer. Einen Sonntagabend im Sommer 2018. Und nicht 9.11. wirbleibenzuhause COVIDー19 Covid_19 coronavirus COVID19 Corona CoronaOutbreak deutschland CoronaVirusUpdates COVID2019,Unrelated,Unrelated,
19,1899," <USERNAME> <USERNAME> Wollen Sie behauptet, das Coronavirus sei das Ergebnis der Einschränkungen beim Flugverkehr, oder was wollen Sie behaupten?",Comment,Comment,
20,2438," Und morgen schicken wir alle ein Foto vom Homeoffice zu euch, damit ihr nicht ganz vereinsamt COVID19 ",Unrelated,Unrelated,
21,2331,"Keine Veranstaltungen, keine Partys, keine Besuche bei Freunden, im Restaurant oder auf dem Spielplatz: Das erste Wochenende mit den neuen Corona-Regeln steht an. Doch auch zu Hause kann man so manches Abenteuer erleben. Wir haben Tipps gesammelt. ",Comment,Comment,
22,1184,"„da keine Befunde, sondern nur die Anschriften der unter Quarantäne stehenden Personen übermittelt würde“. Mit Verlaub. Das ist schon schmerzhaft dummdreist. Natürlich werden sensible Daten offenbart. Setzen sechs, eher sieben. ",Comment,Comment,
23,635,"++ Das Landratsamt Tirschenreuth hat wegen der Verbreitung des Coronavirus für die Stadt Mitterteich eine Ausgangssperre verhängt. Es ist die erste Stadt in Bayern mit einer solchen Maßnahme. Sie soll bis zum 2. April dauern, wie die Behörde mitteilte. ",Comment,Comment,
24,2787, ,Comment,Comment,
