,orig_idx,raw_text,orig_label,predicted_label,translated_from
0,2980,"Bitte retweeten wer der gleichen Meinung ist! <USERNAME> <USERNAME> COVID19de CoronaPandemie StayHome Soforthilfe COVID19 RETWEEET HelpFightCorona RetweeetPlease YouTube twitch 
Beitrag durchlesen und teilen wenn er gefällt! Jede Stimme zählt! Vielen Dank! 👇🏼👇🏼👇🏼👇🏼 ",Unrelated,Unrelated,
1,333, Viele Erntehelfer können nicht anreisen und werden deshalb bei der Ernte fehlen. Meldet euch als Erntehelfer auf - als Helfer und Betrieb kostenlos eintragen StayAtHome Covid_19 wirbleibenzuhause bauersuchthilfe,Comment,Comment,
2,2401,"Tag 4: Guten Morgen, heute mal spaßfrei. HomeOffice ist mit den Kindern kaum möglich. *WirftDasHandtuch*
corona",Unrelated,Unrelated,
3,2960,"Mutige Ansage von Leipzig-OB Jung (SPD), bei der Entwicklungsdynamik des CoronaVirus für 'ne ganze Woche radikale Maßnahmen auszuschließen. Nächstes Mal lieber: ""Stand jetzt sind keine Ladenschließungen geplant"". /MS ",Comment,Comment,
4,2888,"Mein ehemaliger Chef ist ja in Quarantäne, weil er seine Mutter mit Covid infiziert war. Sie ist jetzt vor einigen Tagen daran verstorben.",Comment,Comment,
5,102,"23.01: ""Keine Angst, Corona kommt nicht nach Europa""
24.01: Vier Fälle in Frankreich
25.01: ""Keine Angst, Corona kommt nicht nach Deutschland""
26.01: Erster Fall in Deutschland
29.01: ""Alles nur Panikmache!""
30.01: 90 in Quarantäne, vier bestätigte Fälle in Deutschland 🤔😖",Comment,Comment,
6,1481,"Nicht auszudenken, was mit Berlin passieren würde, wenn diese Dichte der Regelüberwachung in die Zeit NACH der Coronakrise hinübergerettet (und ggf. auf Delikte wie gewerbsmäßigen Drogenhandel und andere OK-Delikte ausgeweitet) werden könnte. ",Comment,Comment,
7,2002,Corona Maßnahmen in Ingolstadt ,Comment,Comment,
8,2236,Auch in Hamburg: Gericht bestätigt Gottesdienstverbot. ,Comment,Comment,
9,2264,Aus dem heutigen Verwaltungsstab zu Corona: Bis zu einer übergreifenden Regelung für Veranstaltungen durch das Land Brandenburg gilt: Regionale Kultur- und Sportveranstaltungen unter 1000 Gästen können stattfinden ,Comment,Comment,
10,2703,"Als moderne Agentur heimatverbundener Weltbürger waren wir schon weit vor Corona auf Homeoffice eingestellt. 
Das Headquarter bleibt minimalbesetzt, dafür sind wir in Berlin jetzt an 8 Standorten operativ tätig und erreichbar💪 coronadeutschland ",Unrelated,Unrelated,
11,1084,Eastbound SV/Largo Town Center Train 609 changed its destination to RD/Shady Grove at or near East Falls Church on track 1. (9:06pm),Comment,Comment,
12,2269,"Wer von der Coronakrise profitieren wird? China.
Covid_19 Ausgangssperren",Unrelated,Unrelated,
